,id,title,genres_list,director,vote_average
140,117251,White House Down,"['Action', 'Drama', 'Thriller']",Roland Emmerich,6.4
141,50321,Mars Needs Moms,"['Adventure', 'Animation', 'Family']",Simon Wells,5.5
142,11619,Flushed Away,"['Adventure', 'Animation', 'Comedy', 'Family']",David Bowers,6.0
143,266647,Pan,"['Adventure', 'Family', 'Fantasy']",Joe Wright,5.9
144,82703,Mr. Peabody & Sherman,"['Animation', 'Adventure', 'Family']",Rob Minkoff,6.7
145,652,Troy,"['Adventure', 'Drama', 'War']",Wolfgang Petersen,6.9
146,80321,Madagascar 3: Europe's Most Wanted,"['Animation', 'Family']",Conrad Vernon,6.4
147,36669,Die Another Day,"['Adventure', 'Action', 'Thriller']",Lee Tamahori,5.8
148,43074,Ghostbusters,"['Action', 'Fantasy', 'Comedy']",Paul Feig,5.3
149,95,Armageddon,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",Michael Bay,6.4
150,608,Men in Black II,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",Barry Sonnenfeld,6.0
151,2310,Beowulf,"['Adventure', 'Action', 'Animation']",Robert Zemeckis,5.5
152,140300,Kung Fu Panda 3,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",Jennifer Yuh Nelson,6.7
153,56292,Mission: Impossible - Ghost Protocol,"['Action', 'Thriller', 'Adventure']",Brad Bird,6.8
154,81188,Rise of the Guardians,"['Fantasy', 'Animation', 'Family']",Peter Ramsey,7.1
155,7552,Fun with Dick and Jane,['Comedy'],Dean Parisot,5.9
156,616,The Last Samurai,"['Drama', 'Action', 'War', 'History']",Edward Zwick,7.3
157,147441,Exodus: Gods and Kings,"['Adventure', 'Drama', 'Action']",Ridley Scott,5.6
158,13475,Star Trek,"['Science Fiction', 'Action', 'Adventure']",J.J. Abrams,7.4
159,557,Spider-Man,"['Fantasy', 'Action']",Sam Raimi,6.8
160,82702,How to Train Your Dragon 2,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",Dean DeBlois,7.6
161,205584,Gods of Egypt,['Fantasy'],Alex Proyas,5.3
162,10048,Stealth,['Action'],Rob Cohen,4.9
163,13183,Watchmen,"['Action', 'Mystery', 'Science Fiction']",Zack Snyder,7.0
164,944,Lethal Weapon 4,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",Richard Donner,6.3
165,1927,Hulk,"['Drama', 'Action', 'Science Fiction']",Ang Lee,5.3
166,72559,G.I. Joe: Retaliation,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",Jon M. Chu,5.4
167,7364,Sahara,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']",Breck Eisner,5.7
168,2114,Final Fantasy: The Spirits Within,"['Adventure', 'Action', 'Animation', 'Fantasy', 'Science Fiction', 'Thriller']",Hironobu Sakaguchi,5.9
169,1771,Captain America: The First Avenger,"['Action', 'Adventure', 'Science Fiction']",Joe Johnston,6.6
170,36643,The World Is Not Enough,"['Adventure', 'Action', 'Thriller']",Michael Apted,6.0
171,8619,Master and Commander: The Far Side of the World,['Adventure'],Peter Weir,6.9
172,50620,The Twilight Saga: Breaking Dawn - Part 2,"['Adventure', 'Fantasy', 'Drama', 'Romance']",Bill Condon,6.1
173,65759,Happy Feet Two,"['Animation', 'Comedy', 'Family']",George Miller,5.8
174,1724,The Incredible Hulk,"['Science Fiction', 'Action', 'Adventure']",Louis Leterrier,6.1
175,267935,The BFG,"['Adventure', 'Family', 'Fantasy']",Steven Spielberg,6.0
176,281957,The Revenant,"['Western', 'Drama', 'Adventure', 'Thriller']",Alejandro González Iñárritu,7.3
177,77950,Turbo,"['Animation', 'Family']",David Soren,6.1
178,44896,Rango,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",Gore Verbinski,6.6
179,270946,Penguins of Madagascar,"['Family', 'Animation', 'Adventure', 'Comedy']",Eric Darnell,6.5
180,2503,The Bourne Ultimatum,"['Action', 'Drama', 'Mystery', 'Thriller']",Paul Greengrass,7.3
181,9502,Kung Fu Panda,"['Adventure', 'Animation', 'Family', 'Comedy']",Mark Osborne,6.9
182,102899,Ant-Man,"['Science Fiction', 'Action', 'Adventure']",Peyton Reed,7.0
183,101299,The Hunger Games: Catching Fire,"['Adventure', 'Action', 'Science Fiction']",Francis Lawrence,7.4
184,228161,Home,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",Tim Johnson,6.8
185,74,War of the Worlds,"['Adventure', 'Thriller', 'Science Fiction']",Steven Spielberg,6.2
186,8961,Bad Boys II,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",Michael Bay,6.3
187,417859,Puss in Boots,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']",Chris Miller,6.4
188,27576,Salt,"['Action', 'Mystery', 'Thriller']",Phillip Noyce,6.2
189,86834,Noah,"['Drama', 'Adventure']",Darren Aronofsky,5.6
190,17578,The Adventures of Tintin,"['Adventure', 'Animation', 'Mystery']",Steven Spielberg,6.7
191,673,Harry Potter and the Prisoner of Azkaban,"['Adventure', 'Fantasy', 'Family']",Alfonso Cuarón,7.7
192,6972,Australia,['Drama'],Baz Luhrmann,6.3
193,82700,After Earth,"['Science Fiction', 'Action', 'Adventure']",M. Night Shyamalan,5.0
194,10567,Dinosaur,"['Animation', 'Family']",Ralph Zondag,6.2
195,181533,Night at the Museum: Secret of the Tomb,"['Adventure', 'Comedy', 'Fantasy', 'Family']",Shawn Levy,6.1
196,38055,Megamind,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",Tom McGrath,6.7
197,671,Harry Potter and the Philosopher's Stone,"['Adventure', 'Fantasy', 'Family']",Chris Columbus,7.5
198,49524,R.I.P.D.,"['Fantasy', 'Action', 'Comedy', 'Crime']",Robert Schwentke,5.4
199,22,Pirates of the Caribbean: The Curse of the Black Pearl,"['Adventure', 'Fantasy', 'Action']",Gore Verbinski,7.5
200,131631,The Hunger Games: Mockingjay - Part 1,"['Science Fiction', 'Adventure', 'Thriller']",Francis Lawrence,6.6
201,591,The Da Vinci Code,"['Thriller', 'Mystery']",Ron Howard,6.5
202,172385,Rio 2,"['Animation', 'Adventure', 'Comedy', 'Family']",Carlos Saldanha,6.3
203,36658,X2,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",Bryan Singer,6.8
204,51497,Fast Five,"['Action', 'Thriller', 'Crime']",Justin Lin,7.1
205,58574,Sherlock Holmes: A Game of Shadows,"['Adventure', 'Action', 'Crime', 'Mystery']",Guy Ritchie,7.0
206,18823,Clash of the Titans,"['Adventure', 'Fantasy', 'Action']",Louis Leterrier,5.6
207,861,Total Recall,"['Action', 'Adventure', 'Science Fiction']",Paul Verhoeven,7.1
208,1911,The 13th Warrior,"['Adventure', 'Fantasy', 'Action']",John McTiernan,6.4
209,49040,The Bourne Legacy,"['Action', 'Thriller']",Tony Gilroy,6.0
210,415,Batman & Robin,"['Action', 'Crime', 'Fantasy']",Joel Schumacher,4.2
211,8871,How the Grinch Stole Christmas,"['Family', 'Comedy', 'Fantasy']",Ron Howard,6.2
212,435,The Day After Tomorrow,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Roland Emmerich,6.2
213,955,Mission: Impossible II,"['Adventure', 'Action', 'Thriller']",John Woo,5.9
214,2133,The Perfect Storm,['Drama'],Wolfgang Petersen,6.2
215,1979,Fantastic 4: Rise of the Silver Surfer,"['Adventure', 'Fantasy', 'Action', 'Thriller']",Tim Story,5.4
216,87827,Life of Pi,"['Adventure', 'Drama', 'Action']",Ang Lee,7.2
217,1250,Ghost Rider,"['Thriller', 'Action', 'Fantasy', 'Horror']",Mark Steven Johnson,5.2
218,324668,Jason Bourne,"['Action', 'Thriller']",Paul Greengrass,5.9
219,9471,Charlie's Angels: Full Throttle,"['Action', 'Adventure', 'Comedy']",McG,5.2
220,70981,Prometheus,"['Science Fiction', 'Adventure', 'Mystery']",Ridley Scott,6.3
221,10996,Stuart Little 2,"['Family', 'Adventure', 'Animation', 'Comedy']",Rob Minkoff,5.4
222,68724,Elysium,"['Science Fiction', 'Action', 'Drama', 'Thriller']",Neill Blomkamp,6.4
223,2789,The Chronicles of Riddick,"['Action', 'Science Fiction']",David Twohy,6.3
224,97020,RoboCop,"['Action', 'Science Fiction']",José Padilha,5.7
225,7459,Speed Racer,"['Action', 'Family', 'Science Fiction']",Lilly Wachowski,5.7
226,42888,How Do You Know,"['Comedy', 'Drama', 'Romance']",James L. Brooks,4.9
227,37834,Knight and Day,"['Action', 'Comedy']",James Mangold,5.9
228,75612,Oblivion,"['Action', 'Science Fiction', 'Adventure', 'Mystery']",Joseph Kosinski,6.4
229,1895,Star Wars: Episode III - Revenge of the Sith,"['Science Fiction', 'Adventure', 'Action']",George Lucas,7.1
230,1894,Star Wars: Episode II - Attack of the Clones,"['Adventure', 'Action', 'Science Fiction']",George Lucas,6.4
231,585,"Monsters, Inc.","['Animation', 'Comedy', 'Family']",Pete Docter,7.5
232,76170,The Wolverine,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']",James Mangold,6.3
233,1893,Star Wars: Episode I - The Phantom Menace,"['Adventure', 'Action', 'Science Fiction']",George Lucas,6.3
234,49519,The Croods,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Chris Sanders,6.8
235,2395,Asterix at the Olympic Games,"['Fantasy', 'Adventure', 'Comedy', 'Family']",Thomas Langmann,5.0
236,12100,Windtalkers,"['Drama', 'Action', 'History', 'War']",John Woo,5.8
237,290595,The Huntsman: Winter's War,"['Action', 'Adventure', 'Drama']",Cedric Nicolas-Troyan,6.0
238,98566,Teenage Mutant Ninja Turtles,"['Science Fiction', 'Action', 'Adventure', 'Fantasy', 'Comedy']",Jonathan Liebesman,5.8
239,49047,Gravity,"['Science Fiction', 'Thriller', 'Drama']",Alfonso Cuarón,7.3
240,9619,Dante's Peak,"['Action', 'Adventure', 'Thriller']",Roger Donaldson,5.7
241,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,"['Fantasy', 'Action', 'Adventure', 'Comedy']",Dave Green,5.8
242,166424,Fantastic Four,"['Action', 'Adventure', 'Science Fiction']",Josh Trank,4.4
243,1593,Night at the Museum,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",Shawn Levy,6.3
244,254128,San Andreas,"['Action', 'Drama', 'Thriller']",Brad Peyton,6.0
245,714,Tomorrow Never Dies,"['Adventure', 'Action', 'Thriller']",Roger Spottiswoode,6.0
246,2024,The Patriot,"['Drama', 'History', 'War', 'Action']",Roland Emmerich,6.8
247,163,Ocean's Twelve,"['Thriller', 'Crime']",Steven Soderbergh,6.4
248,787,Mr. & Mrs. Smith,"['Action', 'Comedy', 'Drama', 'Thriller']",Doug Liman,6.5
249,262500,Insurgent,"['Adventure', 'Science Fiction', 'Thriller']",Robert Schwentke,6.2
250,2567,The Aviator,['Drama'],Martin Scorsese,7.0
251,38745,Gulliver's Travels,['Comedy'],Rob Letterman,4.9
252,40805,The Green Hornet,"['Action', 'Crime', 'Comedy']",Michel Gondry,5.5
253,53182,300: Rise of an Empire,"['Action', 'War']",Noam Murro,6.1
254,41513,The Smurfs,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",Raja Gosnell,5.5
255,13700,Home on the Range,"['Animation', 'Family']",Will Finn,5.7
256,262504,Allegiant,"['Adventure', 'Science Fiction']",Robert Schwentke,5.9
257,39254,Real Steel,"['Action', 'Science Fiction', 'Drama']",Shawn Levy,6.6
258,77931,The Smurfs 2,"['Fantasy', 'Family', 'Comedy', 'Animation']",Raja Gosnell,5.5
259,1639,Speed 2: Cruise Control,"['Action', 'Adventure', 'Thriller']",Jan de Bont,4.1
260,80274,Ender's Game,"['Science Fiction', 'Action', 'Adventure']",Gavin Hood,6.6
261,1571,Live Free or Die Hard,"['Action', 'Thriller']",Len Wiseman,6.4
262,120,The Lord of the Rings: The Fellowship of the Ring,"['Adventure', 'Fantasy', 'Action']",Peter Jackson,8.0
263,10204,Around the World in 80 Days,"['Action', 'Adventure', 'Comedy']",Frank Coraci,5.7
264,8489,Ali,['Drama'],Michael Mann,6.7
265,10588,The Cat in the Hat,"['Comedy', 'Fantasy', 'Family']",Bo Welch,4.9
266,2048,"I, Robot","['Action', 'Science Fiction']",Alex Proyas,6.7
267,1495,Kingdom of Heaven,"['Drama', 'Action', 'Adventure', 'History', 'War']",Ridley Scott,6.6
268,10137,Stuart Little,"['Animation', 'Fantasy', 'Family', 'Comedy']",Rob Minkoff,5.8
269,10198,The Princess and the Frog,"['Romance', 'Family', 'Animation', 'Music']",Ron Clements,6.7
270,286217,The Martian,"['Drama', 'Adventure', 'Science Fiction']",Ridley Scott,7.6
271,1635,The Island,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",Michael Bay,6.5
272,24113,Town & Country,"['Comedy', 'Romance']",Peter Chelsom,3.7
273,9679,Gone in Sixty Seconds,"['Action', 'Crime', 'Thriller']",Dominic Sena,6.1
274,98,Gladiator,"['Action', 'Drama', 'Adventure']",Ridley Scott,7.9
275,180,Minority Report,"['Action', 'Thriller', 'Science Fiction', 'Mystery']",Steven Spielberg,7.1
276,672,Harry Potter and the Chamber of Secrets,"['Adventure', 'Fantasy', 'Family']",Chris Columbus,7.4
277,36557,Casino Royale,"['Adventure', 'Action', 'Thriller']",Martin Campbell,7.3
278,869,Planet of the Apes,"['Thriller', 'Science Fiction', 'Action', 'Adventure']",Tim Burton,5.6
279,280,Terminator 2: Judgment Day,"['Action', 'Thriller', 'Science Fiction']",James Cameron,7.7
280,11322,Public Enemies,"['History', 'Crime', 'Drama']",Michael Mann,6.5
281,4982,American Gangster,"['Drama', 'Crime']",Ridley Scott,7.4
282,36955,True Lies,"['Action', 'Thriller']",James Cameron,6.8
